Date,Device,Resource,Avg_Util_(%),Peak_Hourly_Avg_Util_(%),Peak_Util_(%),Avg_Discards_(%)
08-06-2023,AMRPSTLMO01AS13-01,AMRPSTLMO01AS13-01_port-channel111_369098862_AS13-01fx111,82.26,174.53,180.23,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_E1/12_436213248_AS07-01fx106,79.77,1914.31,22971.66,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/11_436212736_AS01-01fx105,71.0,1135.31,6813.47,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/10_436212224_AS13-01fx103,70.48,1014.7,8117.38,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_port-channel103_369098854_AS13-01fx103,70.31,511.66,3656.23,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/3_436208640_to AMRPLEXKY01AS11-01 e1/3-4,65.88,1569.92,18836.18,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/3_436208640_to AMRPLEXKY01AS14-01 e1/3-4,65.09,520.41,6244.57,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/7_436210688_AS13-01fx101,65.09,585.44,2341.71,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/22_436218368_AS13-01fx109,64.37,837.84,1704.42,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS02-01 e1/3-4,63.76,825.8,9911.2,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/23_436218880_AS13-01fx109,63.6,1013.52,3648.61,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/7_436210688_AS11-01fx102,62.72,1500.28,18001.23,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/20_436217344_AS01-01fx113,61.59,722.06,4338.99,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel106_369098857_AS01-01fx106,60.97,724.18,3487.53,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/8_436211200_AS11-01fx101,60.69,552.77,6633.08,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/14_436214272_AS07-01fx107,59.83,1431.15,17176.54,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel102_369098853_AS01-01fx102,59.76,455.55,3301.35,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/2_436208128_to AMRPSTLMO01AG04-01 e3/11,59.27,709.08,8506.74,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_E1/9_436211712_AS07-01fx106,57.26,915.28,10982.65,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS11-01 e1/3-4,56.8,784.96,9263.7,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/16_436215296_AS01-01fx110,56.15,808.51,4850.93,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_port-channel109_369098860_AS13-01fx109,55.82,547.25,1846.49,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/19_436216832_AS01-01fx113,54.75,656.79,7882.26,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/4_436209152_to AMRPLEXKY01AS08-01 e1/3-4,54.28,651.06,7812.88,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_port-channel102_369098853_AS11-01fx102,53.99,1290.83,15488.69,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/7_436210688_AS07-01fx103,53.34,1275.31,15305.82,0.0
08-06-2023,AMRPSTLMO01AS04-01,AMRPSTLMO01AS04-01_E1/17_436215808_AS03-01fx108,50.96,814.06,9771.16,0.0
08-06-2023,AMRPSTLMO01AS03-01,AMRPSTLMO01AS03-01_E1/21_436217856_AS03-01fx109,50.78,1203.14,14414.91,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/1_436207616_to AMRPLEXKY01AG03-01 e3/11,49.68,1187.08,14242.4,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/4_436209152_to AMRPLEXKY01AS02-01 e1/3-4,48.37,579.44,6954.35,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_port-channel7_369098758_to AMRPLEXKY01AG3-01 e1/1-2 AG04 e3/1,47.82,1144.07,12109.04,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/4_436209152_to AMRPLEXKY01AS11-01 e1/3-4,47.79,1145.33,13743.65,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/7_436210688_AS01-01fx103,44.31,531.29,6376.4,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/4_436209152_to AMRPSTLMO01AS08-01 e1/3-4,43.95,263.57,3162.85,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_port-channel31_369098782_to AMRPSTLMO01AG3-01 e1/1-2 AG03 e3/,43.92,381.23,4034.44,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_port-channel113_369098864_AS01-01fx113,43.42,594.06,3025.35,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS14-01 e1/3-4,43.03,510.61,6099.43,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/7_436210688_AS01-01fx104,41.87,500.54,3011.85,0.0
08-06-2023,AMRPLEXKY01AS14-01,AMRPLEXKY01AS14-01_E1/4_436209152_to AMRPLEXKY01AS13-01 e1/3-4,41.78,500.59,6006.43,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/9_436211712_AS01-01fx105,40.69,325.49,3892.39,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/2_436208128_to AMRPSTLMO01AG04-01 e4/13,40.3,482.76,5792.23,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/9_436211712_AS13-01fx103,39.88,477.96,5736.43,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/13_436213760_AS01-01fx107,39.79,318.2,3818.71,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_port-channel106_369098857_AS07-01fx106,39.29,707.4,7092.13,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_port-channel103_369098854_AS01-01fx103,38.84,365.76,4404.5,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/7_436210688_AS07-01fx103,38.69,926.41,11116.86,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_E1/3_436208640_to AMRPLEXKY01AS07-01 e1/3-4,37.96,909.7,10915.6,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_port-channel101_369098852_AS07-01fx101,37.41,442.58,3927.84,0.0
08-06-2023,AMRPSTLMO01RR04-01,AMRPSTLMO01RR04-01_VLAN95_230_Tape-Grid-TS7720,37.22,148.32,197.44,0.0
08-06-2023,AMRPSTLMO01RR04,AMRPSTLMO01RR04_VLAN95_230:(9/17)_Tape-Grid-TS7720,37.21,148.32,197.44,0.0
08-06-2023,AMRPLEXKY01RR04,AMRPLEXKY01RR04_VLAN95_222:(9/9)_Tape-Grid-TS7720,37.19,148.34,197.58,0.0
08-06-2023,AMRPLEXKY01RR04-01,AMRPLEXKY01RR04-01_VLAN95_222_Tape-Grid-TS7720,37.03,148.34,198.25,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/12_436213248_AS01-01fx105,36.65,330.32,2642.33,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_port-channel105_369098856_AS01-01fx105,36.37,577.67,3406.73,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/6_436210176_AS07-01fx101,35.41,654.64,7855.63,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/5_436209664_AS11-01fx102,34.65,824.69,9895.58,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/8_436211200_AS01-01fx103,33.38,300.14,2403.23,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/13_436213760_AS01-01fx107,33.35,480.24,3828.3,0.0
08-06-2023,AMRPLEXKY01RR03-01,AMRPLEXKY01RR03-01_VLAN94_222_Tape-Grid-TS7720,33.15,147.7,198.19,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_port-channel103_369098854_AS07-01fx103,32.96,490.93,5891.16,0.0
08-06-2023,AMRPLEXKY01RR03,AMRPLEXKY01RR03_VLAN94_222:(9/9)_Tape-Grid-TS7720,32.38,147.7,198.2,0.0
08-06-2023,AMRPSTLMO01RR03-01,AMRPSTLMO01RR03-01_VLAN94_230_Tape-Grid-TS7720,32.34,147.6,198.29,0.0
08-06-2023,AMRPSTLMO01RR03,AMRPSTLMO01RR03_VLAN94_230:(9/17)_Tape-Grid-TS7720,32.34,147.56,198.29,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/13_436213760_AS11-01fx107,30.57,244.86,2925.02,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/15_436214784_AS01-01fx110,30.57,365.35,4383.5,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/22_436218368_AS01-01fx113,30.21,378.21,4160.17,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_E1/10_436212224_AS07-01fx106,29.96,483.22,5798.64,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_port-channel107_369098858_AS07-01fx107,29.93,715.77,8588.27,0.0
08-06-2023,AMRPSTLMO01AS03-01,AMRPSTLMO01AS03-01_E109/1/10_527172160_SGS3VIO2302PPP (Sys ID IBM0769),29.87,97.93,103.11,0.0
08-06-2023,AMRPSTLMO01AS03-01,AMRPSTLMO01AS03-01_port-channel1010_369099761_SGS3VIO2302PPP (Sys ID IBM0769),29.86,97.36,102.54,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/8_436211200_AS07-01fx103,29.82,234.72,1410.98,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/9_436211712_AS07-01fx105,29.39,279.52,1677.48,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/15_436214784_AS01-01fx109,29.17,348.87,2093.5,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_port-channel1_369098752_e1/3-4 to AMRPSTLMO01AS08-01 e1/3-4,28.97,161.8,1652.95,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/10_436212224_AS07-01fx105,28.73,689.29,4136.88,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/3_436208640_to AMRPSTLMO01AS01-01 e1/3-4,28.63,228.69,2741.63,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/3_436208640_to AMRPSTLMO01AS02-01 e1/3-4,28.59,228.45,2740.9,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_port-channel107_369098858_AS01-01fx107,27.88,350.63,3268.31,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/13_436213760_AS01-01fx108,27.49,492.6,5910.33,0.0
08-06-2023,AMRPSTLMO01AS03-01,AMRPSTLMO01AS03-01_E1/17_436215808_AS03-01fx107,27.3,637.37,7591.26,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_port-channel103_369098854_AS07-01fx103,27.18,649.83,7678.49,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS08-01 e1/3-4,27.16,325.53,3906.44,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/21_436217856_AS01-01fx113,27.12,650.8,7809.53,0.0
08-06-2023,AMRPLEXKY01RR04-01,AMRPLEXKY01RR04-01_GE3/0/11_60_NETAPP A FAS8700,26.72,98.33,100.74,0.02
08-06-2023,AMRPLEXKY01RR04,AMRPLEXKY01RR04_GE3/0/11_60:(4/12)_NETAPP A FAS8700,26.7,98.33,100.74,0.03
08-06-2023,AMRPLEXKY01RR03,AMRPLEXKY01RR03_GE3/0/11_60:(4/12)_NETAPP A FAS8700,26.17,98.33,100.65,0.02
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_port-channel105_369098856_AS01-01fx105,26.16,191.08,1963.44,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/11_436212736_AS07-01fx105,26.11,313.17,3757.99,0.0
08-06-2023,AMRPLEXKY01RR03-01,AMRPLEXKY01RR03-01_GE3/0/11_60_NETAPP A FAS8700,26.08,98.33,100.68,0.02
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/9_436211712_AS07-01fx105,25.9,620.84,3726.05,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_port-channel107_369098858_AS01-01fx107,25.46,256.22,1920.55,0.0
08-06-2023,AMRPSTLMO01AS03-01,AMRPSTLMO01AS03-01_port-channel109_369098860_AS03-01fx109,25.39,601.57,7207.42,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_port-channel31_369098782_to AMRPLEXKY01AG3-01 e1/1-2 AG03 e3/,24.86,593.55,7121.21,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/12_436213248_AS01-01fx106,24.72,197.51,2369.88,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/15_436214784_AS01-01fx109,24.7,592.22,7108.23,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_port-channel104_369098855_AS01-01fx104,24.26,250.27,2081.15,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/11_436212736_AS07-01fx105,23.19,556.22,3338.26,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/3_436208640_to AMRPSTLMO01AS08-01 e1/3-4,22.97,275.42,3305.9,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/14_436214272_AS01-01fx107,22.78,546.54,4372.28,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_port-channel101_369098852_AS13-01fx101,22.57,228.7,1169.64,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/14_436214272_AS01-01fx107,21.66,258.39,3100.15,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/13_436213760_AS11-01fx108,21.06,202.33,2422.03,0.0
08-06-2023,AMRPLEXKY01AS14-01,AMRPLEXKY01AS14-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS13-01 e1/3-4,20.92,250.32,3003.24,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/4_436209152_to AMRPLEXKY01AS14-01 e1/3-4,20.91,499.87,5997.35,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_port-channel7_369098758_to AMRPSTLMO01AG3-01 e1/1-2 AG04 e3/1,20.19,241.4,2896.13,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/5_436209664_AS01-01fx102,20.17,241.39,2895.94,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_port-channel107_369098858_AS11-01fx107,19.84,135.14,1614.32,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_port-channel109_369098860_AS01-01fx109,19.74,213.62,1509.44,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_port-channel105_369098856_AS07-01fx105,19.46,466.72,2800.29,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/11_436212736_AS11-01fx105,19.26,306.93,3682.9,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_port-channel108_369098859_AS01-01fx108,19.16,246.23,2955.17,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS07-01 e1/3-4,19.0,454.98,5457.8,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_port-channel105_369098856_AS07-01fx105,18.46,154.68,1358.8,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/7_436210688_AS01-01fx101,18.34,439.44,2636.61,0.0
08-06-2023,AMRPSTLMO01AS07-01,AMRPSTLMO01AS07-01_E1/12_436213248_AS07-01fx105,18.32,182.48,2189.69,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_port-channel110_369098861_AS01-01fx110,18.22,182.63,2191.76,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/6_436210176_AS01-01fx102,17.9,428.58,5142.77,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/21_436217856_AS13-01fx109,17.7,281.44,856.11,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/6_436210176_AS01-01fx101,17.26,331.07,1986.36,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_port-channel1_369098752_e1/3-4 to AMRPSTLMO01AS02-01 e1/3-4,17.03,179.66,1373.65,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/6_436210176_AS13-01fx101,16.68,198.1,2377.03,0.0
08-06-2023,AMRPLEXKY01AS14-01,AMRPLEXKY01AS14-01_E1/9_436211712_AS13-01fx104,16.58,390.78,4689.08,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/14_436214272_AS01-01fx108,16.27,130.22,1562.13,0.0
